epoch,Train_Loss,Train_dice,Val_Loss,Val_dice,Val_Froc
1,0.5063,0.0001,0.5001,0.0015,0.6000000000000009
2,0.5001,0.0,0.5001,0.003,0.6000000000000009
3,0.5001,0.0,0.5001,0.0037,0.6000000000000009
4,0.5001,0.0,0.5001,0.0047,0.6000000000000009
5,0.5001,0.0,0.5001,0.0084,0.6000000000000009
6,0.5001,0.0,0.5001,0.0169,0.6000000000000009
7,0.5001,0.0,0.5001,0.0275,0.6000000000000009
8,0.5001,0.0,0.5001,0.0389,0.6000000000000009
9,0.5001,0.0,0.5001,0.0503,0.6000000000000009
10,0.5001,0.0,0.5001,0.0614,0.6000000000000009
11,0.5001,0.0,0.5001,0.0721,0.6000000000000009
12,0.5001,0.0,0.5001,0.0824,0.6000000000000009
13,0.5001,0.0,0.5001,0.092,0.6000000000000009
14,0.5001,0.0,0.5001,0.1011,0.6000000000000009
15,0.5001,0.0,0.5001,0.1098,0.6000000000000009
16,0.5001,0.0,0.5001,0.1179,0.6000000000000009
17,0.5001,0.0,0.5001,0.1257,0.6000000000000009
18,0.5001,0.0,0.5001,0.1331,0.6000000000000009
19,0.5001,0.0,0.5001,0.14,0.6000000000000009
20,0.5001,0.0,0.5001,0.1407,0.6000000000000009
21,0.5001,0.0,0.5001,0.1414,0.6000000000000009
22,0.5001,0.0,0.5001,0.1421,0.6000000000000009
23,0.5001,0.0,0.5001,0.1428,0.6000000000000009
24,0.5001,0.0,0.5001,0.1435,0.6000000000000009
25,0.5001,0.0,0.5001,0.1442,0.6000000000000009
26,0.5001,0.0,0.5001,0.145,0.6000000000000009
27,0.5001,0.0,0.5001,0.1457,0.6000000000000009
28,0.5001,0.0,0.5001,0.1465,0.6000000000000009
29,0.5001,0.0,0.5001,0.1472,0.6000000000000009
30,0.5001,0.0,0.5001,0.148,0.6000000000000009
31,0.5001,0.0,0.5001,0.1488,0.6000000000000009
32,0.5001,0.0,0.5001,0.1496,0.6000000000000009
33,0.5001,0.0,0.5001,0.1504,0.6000000000000009
34,0.5001,0.0,0.5001,0.1512,0.6000000000000009
35,0.5001,0.0,0.5001,0.152,0.6000000000000009
36,0.5001,0.0,0.5001,0.1528,0.6000000000000009
37,0.5001,0.0,0.5001,0.1537,0.6000000000000009
